asset,city,category,event_path,event_duration_s,size_bytes,sha256
TLCD_sample_Changchun_01_MaxSpdlim.zip,Changchun,01_MaxSpdlim,Changchun_valid/01_MaxSpdlim/D-6.0-PP16-20241018_104240_034-20241018_104631_269_CSV/event_06,5.470,30775469,0dec93765b09f020aaac0e6fd3ea2686fe3034a5c214fe02c0e139b5dfe717f6
TLCD_sample_Changchun_02_MinSpdlim.zip,Changchun,02_MinSpdlim,Changchun_valid/02_MinSpdlim/D-6.0-PP16-20240925_152703_185-20240925_153203_168_CSV/event_07,5.630,30608030,386cf494546225a99e874876db94873edfb1fe89acb969aeb583711ff0123ea4
TLCD_sample_Changchun_03_FollowDis.zip,Changchun,03_FollowDis,Changchun_valid/03_FollowDis/D-6.0-PP16-20240912_101638_339-20240912_101738_336_CSV/event_02,5.250,29003501,11ed79f2c0ebc600ee4ac8d2c6d97cf99259e81f34b69596f60088678ef70ea3
TLCD_sample_Changchun_04_LateralDis.zip,Changchun,04_LateralDis,Changchun_valid/04_LateralDis/D-6.0-PP16-20240927_153657_282-20240927_154157_309_CSV/event_01,5.200,29324686,35d2ea82aef8ea7fc6440bd43b4730d979d659e20b0e19c302afcc20e80742f4
TLCD_sample_Changchun_05_LaneChange.zip,Changchun,05_LaneChange,Changchun_valid/05_LaneChange/D-6.0-PP16-20241014_154345_792-20241014_154845_791_CSV/event_04,8.020,44343204,c1ff9b628f525f3b3852b5190d6d47ff8ef6fc95576789fe8652e1dbfa8b9a35
TLCD_sample_Changchun_06_ContinueLaneChange.zip,Changchun,06_ContinueLaneChange,Changchun_valid/06_ContinueLaneChange/D-6.0-PP16-20241015_145323_869-20241015_145823_979_CSV/event_01,11.350,63674623,e0ff520f636d47951329ad52a7db1e02891912efa57ca6f92e78363159798f49
TLCD_sample_Changchun_07_RoadMarking.zip,Changchun,07_RoadMarking,Changchun_valid/07_RoadMarking/D-6.0-PP16-20240912_100720_347-20240912_100820_347_CSV/event_01,5.630,30877810,809414ce362c77866c90a8ea38dc18af4ed0a778f344a37c1df35be4431f6f67
TLCD_sample_Changchun_08_Overtake.zip,Changchun,08_Overtake,Changchun_valid/08_Overtake/D-6.0-PP16-20240929_140048_163-20240929_140548_171_CSV/event_01,14.720,79882170,416e5f0cb4d130f7e9cbab97d8df3666a11957c6fd1539590637a11e36f3a528
TLCD_sample_Nanjing_01_MaxSpdlim.zip,Nanjing,01_MaxSpdlim,Nanjing_valid/01_MaxSpdlim/D-6.0-28-20240929_114346_394-20240929_114357_380_CSV/event_01,5.040,27752689,4803b72c31c8448b408998d099694f9dd495323ce8541c5b9033f32d7a9445c9
TLCD_sample_Nanjing_02_MinSpdlim.zip,Nanjing,02_MinSpdlim,Nanjing_valid/02_MinSpdlim/D-6.0-22-20241010_152034_981-20241010_152534_515_CSV/event_01,5.160,28601163,d95966059478d890f18a1aa92ddeabca86f568f69dcd303ce5199083f23a8bda
TLCD_sample_Nanjing_03_FollowDis.zip,Nanjing,03_FollowDis,Nanjing_valid/03_FollowDis/D-6.0-28-20240929_145246_126-20240929_145301_639_CSV/event_01,5.450,30093595,3b9bef4dba20d3dc30493ac0ae2fa6107fc07eb2c896325609a3c69204922fad
TLCD_sample_Nanjing_04_LateralDis.zip,Nanjing,04_LateralDis,Nanjing_valid/04_LateralDis/D-6.0-28-20240930_105931_446-20240930_110431_453_CSV/event_01,5.100,28334865,a20cc9015f345a26e278575611f5ecd907a64b844346aa967807a0a659bdc30b
TLCD_sample_Nanjing_05_LaneChange.zip,Nanjing,05_LaneChange,Nanjing_valid/05_LaneChange/D-6.0-31-20241021_160057_757-20241021_160557_780_CSV/event_01,8.010,43673869,187a54900250446790dd1cf2a53b33c8a0a65fe3d1f13a8770f4c1de59d8603f
TLCD_sample_Nanjing_06_ContinueLaneChange.zip,Nanjing,06_ContinueLaneChange,Nanjing_valid/06_ContinueLaneChange/D-6.0-31-20241021_160057_757-20241021_160557_780_CSV/event_01,11.870,64305318,c04b0bad1b4938c0e0df1c208abfd780b96f3b934501faae923d5b2e6afc3436
TLCD_sample_Nanjing_07_RoadMarking.zip,Nanjing,07_RoadMarking,Nanjing_valid/07_RoadMarking/D-6.0-28-20241008_103632_607-20241008_104052_376_CSV/event_01,5.640,31646467,80406ef30d2f3b3836878809078b724b8cd3739475c35c0b39fad1bae518bfe2
TLCD_sample_Nanjing_08_Overtake.zip,Nanjing,08_Overtake,Nanjing_valid/08_Overtake/D-6.0-22-20240925_160034_269-20240925_160534_256_CSV/event_01,13.910,76578147,4f7898e3adb19f3fed7ee52e564e6d5d1d4b383cdf008022c1092cf5a7f9837d
