city,article_id,total_events,compliant_events,violating_events
Changchun,IMR_44.1,219,201,18
Changchun,IMR_45.1,93,9,84
Changchun,IMR_47.4,13,12,1
Changchun,IMR_78.1,70,59,11
Changchun,IMR_78.2,74,60,14
Changchun,IMR_78.3,174,78,96
Changchun,IMR_78.4,20,20,0
Changchun,IMR_78.5,70,63,7
Changchun,IMR_78.6,35,3,32
Changchun,IMR_78.7,30,19,11
Changchun,IMR_80.1,72,8,64
Changchun,IMR_80.2,147,16,131
Changchun,OSP_8.2.1,262,258,4
Changchun,OSP_9.3.1,20,17,3
Changchun,TSM_4.3.1,159,140,19
Changchun,TSM_4.5.2,33,0,33
Nanjing,IMR_44.1,587,502,85
Nanjing,IMR_45.1,358,63,295
Nanjing,IMR_47.4,37,22,15
Nanjing,IMR_78.1,74,65,9
Nanjing,IMR_78.2,32,25,7
Nanjing,IMR_78.3,666,327,339
Nanjing,IMR_78.4,54,48,6
Nanjing,IMR_78.6,20,1,19
Nanjing,IMR_78.7,94,61,33
Nanjing,IMR_80.1,74,10,64
Nanjing,IMR_80.2,379,39,340
Nanjing,IMR_82.5,7,0,7
Nanjing,OSP_8.2.1,1001,953,48
Nanjing,OSP_9.3.1,77,57,20
Nanjing,TSM_4.3.1,437,367,70
Nanjing,TSM_4.5.2,82,0,82
