category,combination,count,share_pct_within_category,category_total
MaxSpdlim,CAL,132,10.05,1314
MaxSpdlim,CAI,151,11.49,1314
MaxSpdlim,CML,11,0.84,1314
MaxSpdlim,CMI,15,1.14,1314
MaxSpdlim,NAL,0,0.0,1314
MaxSpdlim,NAI,0,0.0,1314
MaxSpdlim,NML,419,31.89,1314
MaxSpdlim,NMI,586,44.6,1314
MinSpdlim,CAL,158,38.73,408
MinSpdlim,CAI,48,11.76,408
MinSpdlim,CML,3,0.74,408
MinSpdlim,CMI,10,2.45,408
MinSpdlim,NAL,82,20.1,408
MinSpdlim,NAI,38,9.31,408
MinSpdlim,NML,52,12.75,408
MinSpdlim,NMI,17,4.17,408
FollowDis,CAL,19,3.27,581
FollowDis,CAI,147,25.3,581
FollowDis,CML,4,0.69,581
FollowDis,CMI,16,2.75,581
FollowDis,NAL,41,7.06,581
FollowDis,NAI,271,46.64,581
FollowDis,NML,5,0.86,581
FollowDis,NMI,78,13.43,581
LateralDis,CAL,227,17.97,1263
LateralDis,CAI,2,0.16,1263
LateralDis,CML,31,2.45,1263
LateralDis,CMI,2,0.16,1263
LateralDis,NAL,661,52.34,1263
LateralDis,NAI,13,1.03,1263
LateralDis,NML,292,23.12,1263
LateralDis,NMI,35,2.77,1263
LaneChange,CAL,188,23.33,806
LaneChange,CAI,14,1.74,806
LaneChange,CML,13,1.61,806
LaneChange,CMI,4,0.5,806
LaneChange,NAL,297,36.85,806
LaneChange,NAI,46,5.71,806
LaneChange,NML,205,25.43,806
LaneChange,NMI,39,4.84,806
ContinueLaneChange,CAL,17,17.53,97
ContinueLaneChange,CAI,0,0.0,97
ContinueLaneChange,CML,0,0.0,97
ContinueLaneChange,CMI,3,3.09,97
ContinueLaneChange,NAL,26,26.8,97
ContinueLaneChange,NAI,0,0.0,97
ContinueLaneChange,NML,31,31.96,97
ContinueLaneChange,NMI,20,20.62,97
RoadMarking,CAL,125,19.17,652
RoadMarking,CAI,23,3.53,652
RoadMarking,CML,15,2.3,652
RoadMarking,CMI,16,2.45,652
RoadMarking,NAL,226,34.66,652
RoadMarking,NAI,27,4.14,652
RoadMarking,NML,141,21.63,652
RoadMarking,NMI,79,12.12,652
Overtake,CAL,12,23.08,52
Overtake,CAI,1,1.92,52
Overtake,CML,0,0.0,52
Overtake,CMI,0,0.0,52
Overtake,NAL,4,7.69,52
Overtake,NAI,2,3.85,52
Overtake,NML,18,34.62,52
Overtake,NMI,15,28.85,52
