special_scene_code,special_scene_en,special_scene_zh,category,count,category_total,percentage_within_category
multi_lane,Multi-lane road,多车道道路,MaxSpdlim,995,1314,75.72
multi_lane,Multi-lane road,多车道道路,MinSpdlim,407,408,99.75
multi_lane,Multi-lane road,多车道道路,FollowDis,538,581,92.6
multi_lane,Multi-lane road,多车道道路,LateralDis,925,1263,73.24
multi_lane,Multi-lane road,多车道道路,LaneChange,689,806,85.48
multi_lane,Multi-lane road,多车道道路,ContinueLaneChange,92,97,94.85
multi_lane,Multi-lane road,多车道道路,RoadMarking,523,652,80.21
multi_lane,Multi-lane road,多车道道路,Overtake,49,52,94.23
single_lane,Single-lane road,单车道道路,MaxSpdlim,21,1314,1.6
single_lane,Single-lane road,单车道道路,MinSpdlim,0,408,0.0
single_lane,Single-lane road,单车道道路,FollowDis,3,581,0.52
single_lane,Single-lane road,单车道道路,LateralDis,0,1263,0.0
single_lane,Single-lane road,单车道道路,LaneChange,5,806,0.62
single_lane,Single-lane road,单车道道路,ContinueLaneChange,0,97,0.0
single_lane,Single-lane road,单车道道路,RoadMarking,12,652,1.84
single_lane,Single-lane road,单车道道路,Overtake,0,52,0.0
single_carriageway,Single carriageway,单幅道路,MaxSpdlim,0,1314,0.0
single_carriageway,Single carriageway,单幅道路,MinSpdlim,0,408,0.0
single_carriageway,Single carriageway,单幅道路,FollowDis,0,581,0.0
single_carriageway,Single carriageway,单幅道路,LateralDis,0,1263,0.0
single_carriageway,Single carriageway,单幅道路,LaneChange,0,806,0.0
single_carriageway,Single carriageway,单幅道路,ContinueLaneChange,0,97,0.0
single_carriageway,Single carriageway,单幅道路,RoadMarking,0,652,0.0
single_carriageway,Single carriageway,单幅道路,Overtake,0,52,0.0
ramp,Ramp,包含上/下匝道,MaxSpdlim,109,1314,8.3
ramp,Ramp,包含上/下匝道,MinSpdlim,1,408,0.25
ramp,Ramp,包含上/下匝道,FollowDis,6,581,1.03
ramp,Ramp,包含上/下匝道,LateralDis,51,1263,4.04
ramp,Ramp,包含上/下匝道,LaneChange,22,806,2.73
ramp,Ramp,包含上/下匝道,ContinueLaneChange,4,97,4.12
ramp,Ramp,包含上/下匝道,RoadMarking,63,652,9.66
ramp,Ramp,包含上/下匝道,Overtake,1,52,1.92
accel_decel_lane,Acceleration/deceleration lane,加/减速车道,MaxSpdlim,179,1314,13.62
accel_decel_lane,Acceleration/deceleration lane,加/减速车道,MinSpdlim,2,408,0.49
accel_decel_lane,Acceleration/deceleration lane,加/减速车道,FollowDis,97,581,16.7
accel_decel_lane,Acceleration/deceleration lane,加/减速车道,LateralDis,130,1263,10.29
accel_decel_lane,Acceleration/deceleration lane,加/减速车道,LaneChange,154,806,19.11
accel_decel_lane,Acceleration/deceleration lane,加/减速车道,ContinueLaneChange,19,97,19.59
accel_decel_lane,Acceleration/deceleration lane,加/减速车道,RoadMarking,136,652,20.86
